Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
myHP,1,2x2,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
HP e-Service,2,2x2,ALL,DtAppID,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\StarSoftComm\CooCare5\eService\BIN\CooCare.exe,,,,,,,
e-QR Code,3,2x2,ALL,AppID,AD2F1837.E-QRcode_v10z8vjag6ke6!App,,,,,,,
OMEN Command Center,4,2x2,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,,,,,,
McAfee,5,2x2,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,S_Mode,
McAfee,5,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\McAfee\McAfee LiveSafe.lnk,,,,,,,
WPS Office,6,2x2,ALL,DtAppID,Kingsoft.Office.KPrometheus,,,,,,,
TianYiCloud,7,2x2,ALL,DtAppLinkPath,,,,,,,,6
HPCC,8,2x2,ALL,AppID,AD2F1837.HPThermalControl_v10z8vjag6ke6!App,,,,,,,
Concept,9,2x2,ALL,AppID,TopHatchInc.Concepts_phhqn29e7p872!App,,,,,,,
Duet,10,2x2,ALL,AppID,DuetInc.DuetDisplayforHP_8f7kazqzn4j6t!App,,,,,,S_Mode,
Duet,10,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Duet Display.lnk,,,,,,,
Simple Solitaire,11,2x2,ALL,AppID,26720RandomSaladGamesLLC.SimpleSolitaire_kx24dqmazqk8j!App,,,,,,,
HP Palette,101,Taskbar,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,,,,,,
HPSA,102,Taskbar,ALL,AppID,AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant,,,,,,,
Xiaowei,103,Taskbar,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,,
Baidu,1,EdgeFav,ALL,Link,https://www.baidu.com/?tn=67074732_8_dg,,,,,,,
HP China Website,2,EdgeFav,ALL,Link,http://www.hp.com,,,,,,,
HP China Store,3,EdgeFav,ALL,Link,https://www.hpstore.cn/hponline,,,,,,,
McAfee,4,EdgeFav,ALL,Link,http://www.mcafee.com/consumer/v/browserfav/hp.html,,,,,,,
